College/School,Department,Intended Major,Neither Parent has 4 Year College Degree,Applicant Headcounts,Academic Yr,('SIRed')
Clg of Letters & Science,East Asian Lang & Culture,"E Asian Rel, Thought, & Cul",U,0,2016-17,(SIRed)
Clg of Letters & Science,East Asian Lang & Culture,"E Asian Rel, Thought, & Cul",U,0,2017-18,(SIRed)
Clg of Letters & Science,East Asian Lang & Culture,"E Asian Rel, Thought, & Cul",Y,0,2016-17,(SIRed)
Clg of Letters & Science,East Asian Lang & Culture,"E Asian Rel, Thought, & Cul",Y,2,2017-18,(SIRed)
Clg of Letters & Science,East Asian Lang & Culture,Japanese Language,N,6,2015-16,(SIRed)
Clg of Letters & Science,East Asian Lang & Culture,Japanese Language,N,13,2016-17,(SIRed)
Clg of Letters & Science,East Asian Lang & Culture,Japanese Language,N,5,2017-18,(SIRed)
Clg of Letters & Science,East Asian Lang & Culture,Japanese Language,U,,2015-16,(SIRed)
Clg of Letters & Science,East Asian Lang & Culture,Japanese Language,U,0,2016-17,(SIRed)
Clg of Letters & Science,East Asian Lang & Culture,Japanese Language,U,1,2017-18,(SIRed)
Clg of Letters & Science,East Asian Lang & Culture,Japanese Language,Y,4,2015-16,(SIRed)
Clg of Letters & Science,East Asian Lang & Culture,Japanese Language,Y,4,2016-17,(SIRed)
Clg of Letters & Science,East Asian Lang & Culture,Japanese Language,Y,3,2017-18,(SIRed)
Clg of Letters & Science,Economics,Economics,N,121,2015-16,(SIRed)
Clg of Letters & Science,Economics,Economics,N,128,2016-17,(SIRed)
Clg of Letters & Science,Economics,Economics,N,183,2017-18,(SIRed)
Clg of Letters & Science,Economics,Economics,U,6,2015-16,(SIRed)
Clg of Letters & Science,Economics,Economics,U,10,2016-17,(SIRed)
Clg of Letters & Science,Economics,Economics,U,5,2017-18,(SIRed)
Clg of Letters & Science,Economics,Economics,Y,102,2015-16,(SIRed)
Clg of Letters & Science,Economics,Economics,Y,112,2016-17,(SIRed)
Clg of Letters & Science,Economics,Economics,Y,148,2017-18,(SIRed)
Clg of Letters & Science,English,English,N,88,2015-16,(SIRed)
Clg of Letters & Science,English,English,N,79,2016-17,(SIRed)
Clg of Letters & Science,English,English,N,95,2017-18,(SIRed)
Clg of Letters & Science,English,English,U,6,2015-16,(SIRed)
Clg of Letters & Science,English,English,U,5,2016-17,(SIRed)
Clg of Letters & Science,English,English,U,4,2017-18,(SIRed)
Clg of Letters & Science,English,English,Y,80,2015-16,(SIRed)
Clg of Letters & Science,English,English,Y,73,2016-17,(SIRed)
Clg of Letters & Science,English,English,Y,75,2017-18,(SIRed)
Clg of Letters & Science,Ethnic Studies,Asian Am & Asian Diasp St,N,1,2016-17,(SIRed)
Clg of Letters & Science,Ethnic Studies,Asian Am & Asian Diasp St,U,0,2016-17,(SIRed)
Clg of Letters & Science,Ethnic Studies,Asian Am & Asian Diasp St,Y,0,2016-17,(SIRed)
Clg of Letters & Science,Ethnic Studies,Asian American Studies,N,,2015-16,(SIRed)
Clg of Letters & Science,Ethnic Studies,Asian American Studies,N,1,2017-18,(SIRed)
Clg of Letters & Science,Ethnic Studies,Asian American Studies,U,,2015-16,(SIRed)
Clg of Letters & Science,Ethnic Studies,Asian American Studies,Y,1,2015-16,(SIRed)
Clg of Letters & Science,Ethnic Studies,Asian American Studies,Y,0,2017-18,(SIRed)
Clg of Letters & Science,Ethnic Studies,Chicano Studies,N,,2015-16,(SIRed)
Clg of Letters & Science,Ethnic Studies,Chicano Studies,N,0,2016-17,(SIRed)
Clg of Letters & Science,Ethnic Studies,Chicano Studies,N,1,2017-18,(SIRed)
Clg of Letters & Science,Ethnic Studies,Chicano Studies,U,0,2016-17,(SIRed)
Clg of Letters & Science,Ethnic Studies,Chicano Studies,U,0,2017-18,(SIRed)
Clg of Letters & Science,Ethnic Studies,Chicano Studies,Y,1,2015-16,(SIRed)
Clg of Letters & Science,Ethnic Studies,Chicano Studies,Y,3,2016-17,(SIRed)
Clg of Letters & Science,Ethnic Studies,Chicano Studies,Y,2,2017-18,(SIRed)
Clg of Letters & Science,Ethnic Studies,Ethnic Studies,N,,2015-16,(SIRed)
Clg of Letters & Science,Ethnic Studies,Ethnic Studies,N,3,2016-17,(SIRed)
Clg of Letters & Science,Ethnic Studies,Ethnic Studies,N,3,2017-18,(SIRed)
Clg of Letters & Science,Ethnic Studies,Ethnic Studies,U,1,2015-16,(SIRed)
Clg of Letters & Science,Ethnic Studies,Ethnic Studies,U,0,2016-17,(SIRed)
